TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Homicide,2008,2,4,2008-02-01
Homicide,2008,3,3,2008-03-01
Homicide,2008,5,1,2008-05-01
Homicide,2008,7,2,2008-07-01
Homicide,2008,8,2,2008-08-01
Homicide,2008,9,1,2008-09-01
Homicide,2008,10,2,2008-10-01
Homicide,2008,12,1,2008-12-01
Homicide,2009,1,3,2009-01-01
Homicide,2009,2,4,2009-02-01
Homicide,2009,3,2,2009-03-01
Homicide,2009,4,4,2009-04-01
Homicide,2009,6,1,2009-06-01
Homicide,2009,7,2,2009-07-01
Homicide,2009,8,1,2009-08-01
Homicide,2009,9,1,2009-09-01
Homicide,2010,1,2,2010-01-01
Homicide,2010,3,1,2010-03-01
Homicide,2010,4,1,2010-04-01
Homicide,2010,5,1,2010-05-01
Homicide,2010,6,1,2010-06-01
Homicide,2010,8,1,2010-08-01
Homicide,2010,9,1,2010-09-01
Homicide,2010,10,1,2010-10-01
Homicide,2010,11,1,2010-11-01
Homicide,2011,2,1,2011-02-01
Homicide,2011,3,2,2011-03-01
Homicide,2011,4,1,2011-04-01
Homicide,2011,6,3,2011-06-01
Homicide,2011,7,3,2011-07-01
Homicide,2011,9,1,2011-09-01
Homicide,2011,10,1,2011-10-01
Homicide,2011,11,1,2011-11-01
Homicide,2011,12,2,2011-12-01
Homicide,2012,1,1,2012-01-01
Homicide,2012,2,1,2012-02-01
Homicide,2012,3,1,2012-03-01
Homicide,2012,5,2,2012-05-01
Homicide,2012,8,1,2012-08-01
Homicide,2012,10,2,2012-10-01
Homicide,2013,1,1,2013-01-01
Homicide,2013,2,1,2013-02-01
Homicide,2013,3,1,2013-03-01
Homicide,2013,6,1,2013-06-01
Homicide,2013,8,1,2013-08-01
Homicide,2013,10,1,2013-10-01
Homicide,2013,12,1,2013-12-01
Homicide,2014,2,1,2014-02-01
Homicide,2014,3,1,2014-03-01
Homicide,2014,4,3,2014-04-01
Homicide,2014,5,1,2014-05-01
Homicide,2014,6,1,2014-06-01
Homicide,2014,11,2,2014-11-01
Homicide,2015,1,1,2015-01-01
Homicide,2015,2,1,2015-02-01
Homicide,2015,3,3,2015-03-01
Homicide,2015,4,1,2015-04-01
Homicide,2015,7,3,2015-07-01
Homicide,2015,8,3,2015-08-01
Homicide,2015,9,2,2015-09-01
Homicide,2015,11,1,2015-11-01
Homicide,2016,1,1,2016-01-01
Homicide,2016,3,2,2016-03-01
Homicide,2016,5,2,2016-05-01
Homicide,2016,6,1,2016-06-01
Homicide,2016,8,1,2016-08-01
Homicide,2016,9,3,2016-09-01
Homicide,2016,11,1,2016-11-01
Homicide,2016,12,1,2016-12-01
Homicide,2017,1,1,2017-01-01
Homicide,2017,2,2,2017-02-01
Homicide,2017,3,3,2017-03-01
Homicide,2017,4,2,2017-04-01
Homicide,2017,5,1,2017-05-01
Homicide,2017,6,1,2017-06-01
Homicide,2017,7,1,2017-07-01
Homicide,2017,8,1,2017-08-01
Homicide,2017,9,1,2017-09-01
Homicide,2017,10,2,2017-10-01
Homicide,2017,11,1,2017-11-01
Homicide,2017,12,1,2017-12-01
Homicide,2018,1,4,2018-01-01
Homicide,2018,2,2,2018-02-01
Homicide,2018,4,2,2018-04-01
Homicide,2018,6,2,2018-06-01
Homicide,2018,7,2,2018-07-01
Homicide,2018,8,1,2018-08-01
Homicide,2018,11,1,2018-11-01
Homicide,2018,12,1,2018-12-01
Homicide,2019,1,3,2019-01-01
Homicide,2019,3,1,2019-03-01
Homicide,2019,4,2,2019-04-01
Homicide,2019,6,2,2019-06-01
Homicide,2019,9,1,2019-09-01
Homicide,2019,10,1,2019-10-01
Homicide,2019,11,2,2019-11-01
Homicide,2020,1,3,2020-01-01
Homicide,2020,2,1,2020-02-01
Homicide,2020,5,2,2020-05-01
Homicide,2020,7,4,2020-07-01
Homicide,2020,8,1,2020-08-01
Homicide,2020,9,3,2020-09-01
Homicide,2020,10,1,2020-10-01
Homicide,2020,11,1,2020-11-01
Homicide,2020,12,3,2020-12-01
Homicide,2021,1,2,2021-01-01
Homicide,2021,3,2,2021-03-01
Homicide,2021,4,3,2021-04-01
Homicide,2021,5,1,2021-05-01
Homicide,2021,6,2,2021-06-01
Homicide,2021,7,3,2021-07-01
Homicide,2021,8,1,2021-08-01
Homicide,2021,9,1,2021-09-01
Homicide,2021,10,1,2021-10-01
Homicide,2021,11,1,2021-11-01
Homicide,2021,12,2,2021-12-01
Homicide,2022,2,1,2022-02-01
Homicide,2022,5,3,2022-05-01
Homicide,2022,6,2,2022-06-01
Homicide,2022,7,2,2022-07-01
Homicide,2022,11,3,2022-11-01
Homicide,2023,1,3,2023-01-01
Homicide,2023,2,1,2023-02-01
Homicide,2023,3,2,2023-03-01
Homicide,2023,5,2,2023-05-01
Homicide,2023,6,1,2023-06-01
Homicide,2023,7,1,2023-07-01
Homicide,2023,8,1,2023-08-01
Homicide,2023,9,2,2023-09-01
Mischief,2003,1,551,2003-01-01
Mischief,2003,2,483,2003-02-01
Mischief,2003,3,575,2003-03-01
Mischief,2003,4,620,2003-04-01
Mischief,2003,5,589,2003-05-01
Mischief,2003,6,571,2003-06-01
Mischief,2003,7,555,2003-07-01
Mischief,2003,8,508,2003-08-01
Mischief,2003,9,475,2003-09-01
Mischief,2003,10,570,2003-10-01
Mischief,2003,11,465,2003-11-01
Mischief,2003,12,425,2003-12-01
Mischief,2004,1,451,2004-01-01
Mischief,2004,2,401,2004-02-01
Mischief,2004,3,426,2004-03-01
Mischief,2004,4,462,2004-04-01
Mischief,2004,5,479,2004-05-01
Mischief,2004,6,491,2004-06-01
Mischief,2004,7,494,2004-07-01
Mischief,2004,8,489,2004-08-01
Mischief,2004,9,506,2004-09-01
Mischief,2004,10,492,2004-10-01
Mischief,2004,11,453,2004-11-01
Mischief,2004,12,454,2004-12-01
Mischief,2005,1,375,2005-01-01
Mischief,2005,2,360,2005-02-01
Mischief,2005,3,475,2005-03-01
Mischief,2005,4,444,2005-04-01
Mischief,2005,5,477,2005-05-01
Mischief,2005,6,426,2005-06-01
Mischief,2005,7,420,2005-07-01
Mischief,2005,8,416,2005-08-01
Mischief,2005,9,378,2005-09-01
Mischief,2005,10,456,2005-10-01
Mischief,2005,11,366,2005-11-01
Mischief,2005,12,469,2005-12-01
Mischief,2006,1,444,2006-01-01
Mischief,2006,2,385,2006-02-01
Mischief,2006,3,456,2006-03-01
Mischief,2006,4,423,2006-04-01
Mischief,2006,5,407,2006-05-01
Mischief,2006,6,423,2006-06-01
Mischief,2006,7,492,2006-07-01
Mischief,2006,8,459,2006-08-01
Mischief,2006,9,455,2006-09-01
Mischief,2006,10,477,2006-10-01
Mischief,2006,11,354,2006-11-01
Mischief,2006,12,405,2006-12-01
Mischief,2007,1,357,2007-01-01
Mischief,2007,2,343,2007-02-01
Mischief,2007,3,357,2007-03-01
Mischief,2007,4,400,2007-04-01
Mischief,2007,5,428,2007-05-01
Mischief,2007,6,450,2007-06-01
Mischief,2007,7,408,2007-07-01
Mischief,2007,8,466,2007-08-01
Mischief,2007,9,392,2007-09-01
Mischief,2007,10,425,2007-10-01
Mischief,2007,11,389,2007-11-01
Mischief,2007,12,397,2007-12-01
Mischief,2008,1,354,2008-01-01
Mischief,2008,2,456,2008-02-01
Mischief,2008,3,630,2008-03-01
Mischief,2008,4,511,2008-04-01
Mischief,2008,5,425,2008-05-01
Mischief,2008,6,413,2008-06-01
Mischief,2008,7,432,2008-07-01
Mischief,2008,8,442,2008-08-01
Mischief,2008,9,366,2008-09-01
Mischief,2008,10,469,2008-10-01
Mischief,2008,11,442,2008-11-01
Mischief,2008,12,330,2008-12-01
Mischief,2009,1,370,2009-01-01
Mischief,2009,2,314,2009-02-01
Mischief,2009,3,373,2009-03-01
Mischief,2009,4,362,2009-04-01
Mischief,2009,5,426,2009-05-01
Mischief,2009,6,386,2009-06-01
Mischief,2009,7,404,2009-07-01
Mischief,2009,8,379,2009-08-01
Mischief,2009,9,360,2009-09-01
Mischief,2009,10,370,2009-10-01
Mischief,2009,11,355,2009-11-01
Mischief,2009,12,326,2009-12-01
Mischief,2010,1,390,2010-01-01
Mischief,2010,2,358,2010-02-01
Mischief,2010,3,332,2010-03-01
Mischief,2010,4,357,2010-04-01
Mischief,2010,5,448,2010-05-01
Mischief,2010,6,391,2010-06-01
Mischief,2010,7,380,2010-07-01
Mischief,2010,8,397,2010-08-01
Mischief,2010,9,341,2010-09-01
Mischief,2010,10,442,2010-10-01
Mischief,2010,11,354,2010-11-01
Mischief,2010,12,324,2010-12-01
Mischief,2011,1,341,2011-01-01
Mischief,2011,2,319,2011-02-01
Mischief,2011,3,380,2011-03-01
Mischief,2011,4,380,2011-04-01
Mischief,2011,5,368,2011-05-01
Mischief,2011,6,813,2011-06-01
Mischief,2011,7,397,2011-07-01
Mischief,2011,8,381,2011-08-01
Mischief,2011,9,357,2011-09-01
Mischief,2011,10,379,2011-10-01
Mischief,2011,11,349,2011-11-01
Mischief,2011,12,370,2011-12-01
Mischief,2012,1,342,2012-01-01
Mischief,2012,2,326,2012-02-01
Mischief,2012,3,335,2012-03-01
Mischief,2012,4,306,2012-04-01
Mischief,2012,5,379,2012-05-01
Mischief,2012,6,379,2012-06-01
Mischief,2012,7,357,2012-07-01
Mischief,2012,8,369,2012-08-01
Mischief,2012,9,386,2012-09-01
Mischief,2012,10,359,2012-10-01
Mischief,2012,11,367,2012-11-01
Mischief,2012,12,323,2012-12-01
Mischief,2013,1,315,2013-01-01
Mischief,2013,2,290,2013-02-01
Mischief,2013,3,398,2013-03-01
Mischief,2013,4,350,2013-04-01
Mischief,2013,5,380,2013-05-01
Mischief,2013,6,322,2013-06-01
Mischief,2013,7,387,2013-07-01
Mischief,2013,8,345,2013-08-01
Mischief,2013,9,355,2013-09-01
Mischief,2013,10,380,2013-10-01
Mischief,2013,11,348,2013-11-01
Mischief,2013,12,311,2013-12-01
Mischief,2014,1,358,2014-01-01
Mischief,2014,2,349,2014-02-01
Mischief,2014,3,377,2014-03-01
Mischief,2014,4,416,2014-04-01
Mischief,2014,5,380,2014-05-01
Mischief,2014,6,359,2014-06-01
Mischief,2014,7,392,2014-07-01
Mischief,2014,8,413,2014-08-01
Mischief,2014,9,377,2014-09-01
Mischief,2014,10,422,2014-10-01
Mischief,2014,11,338,2014-11-01
Mischief,2014,12,328,2014-12-01
Mischief,2015,1,315,2015-01-01
Mischief,2015,2,322,2015-02-01
Mischief,2015,3,339,2015-03-01
Mischief,2015,4,347,2015-04-01
Mischief,2015,5,379,2015-05-01
Mischief,2015,6,326,2015-06-01
Mischief,2015,7,365,2015-07-01
Mischief,2015,8,338,2015-08-01
Mischief,2015,9,320,2015-09-01
Mischief,2015,10,398,2015-10-01
Mischief,2015,11,387,2015-11-01
Mischief,2015,12,342,2015-12-01
Mischief,2016,1,381,2016-01-01
Mischief,2016,2,340,2016-02-01
Mischief,2016,3,379,2016-03-01
Mischief,2016,4,416,2016-04-01
Mischief,2016,5,410,2016-05-01
Mischief,2016,6,396,2016-06-01
Mischief,2016,7,422,2016-07-01
Mischief,2016,8,400,2016-08-01
Mischief,2016,9,388,2016-09-01
Mischief,2016,10,361,2016-10-01
Mischief,2016,11,343,2016-11-01
Mischief,2016,12,345,2016-12-01
Mischief,2017,1,365,2017-01-01
Mischief,2017,2,329,2017-02-01
Mischief,2017,3,440,2017-03-01
Mischief,2017,4,448,2017-04-01
Mischief,2017,5,451,2017-05-01
Mischief,2017,6,421,2017-06-01
Mischief,2017,7,420,2017-07-01
Mischief,2017,8,478,2017-08-01
Mischief,2017,9,438,2017-09-01
Mischief,2017,10,524,2017-10-01
Mischief,2017,11,514,2017-11-01
Mischief,2017,12,542,2017-12-01
Mischief,2018,1,510,2018-01-01
Mischief,2018,2,422,2018-02-01
Mischief,2018,3,509,2018-03-01
Mischief,2018,4,479,2018-04-01
Mischief,2018,5,426,2018-05-01
Mischief,2018,6,499,2018-06-01
Mischief,2018,7,451,2018-07-01
Mischief,2018,8,483,2018-08-01
Mischief,2018,9,471,2018-09-01
Mischief,2018,10,529,2018-10-01
Mischief,2018,11,469,2018-11-01
Mischief,2018,12,468,2018-12-01
Mischief,2019,1,485,2019-01-01
Mischief,2019,2,402,2019-02-01
Mischief,2019,3,458,2019-03-01
Mischief,2019,4,452,2019-04-01
Mischief,2019,5,468,2019-05-01
Mischief,2019,6,451,2019-06-01
Mischief,2019,7,536,2019-07-01
Mischief,2019,8,509,2019-08-01
Mischief,2019,9,495,2019-09-01
Mischief,2019,10,529,2019-10-01
Mischief,2019,11,506,2019-11-01
Mischief,2019,12,541,2019-12-01
Mischief,2020,1,634,2020-01-01
Mischief,2020,2,611,2020-02-01
Mischief,2020,3,577,2020-03-01
Mischief,2020,4,567,2020-04-01
Mischief,2020,5,440,2020-05-01
Mischief,2020,6,438,2020-06-01
Mischief,2020,7,468,2020-07-01
Mischief,2020,8,438,2020-08-01
Mischief,2020,9,491,2020-09-01
Mischief,2020,10,532,2020-10-01
Mischief,2020,11,460,2020-11-01
Mischief,2020,12,453,2020-12-01
Mischief,2021,1,500,2021-01-01
Mischief,2021,2,421,2021-02-01
Mischief,2021,3,447,2021-03-01
Mischief,2021,4,445,2021-04-01
Mischief,2021,5,489,2021-05-01
Mischief,2021,6,414,2021-06-01
Mischief,2021,7,458,2021-07-01
Mischief,2021,8,477,2021-08-01
Mischief,2021,9,492,2021-09-01
Mischief,2021,10,481,2021-10-01
Mischief,2021,11,400,2021-11-01
Mischief,2021,12,383,2021-12-01
Mischief,2022,1,468,2022-01-01
Mischief,2022,2,452,2022-02-01
Mischief,2022,3,491,2022-03-01
Mischief,2022,4,484,2022-04-01
Mischief,2022,5,477,2022-05-01
Mischief,2022,6,428,2022-06-01
Mischief,2022,7,499,2022-07-01
Mischief,2022,8,505,2022-08-01
Mischief,2022,9,507,2022-09-01
Mischief,2022,10,519,2022-10-01
Mischief,2022,11,406,2022-11-01
Mischief,2022,12,378,2022-12-01
Mischief,2023,1,503,2023-01-01
Mischief,2023,2,443,2023-02-01
Mischief,2023,3,626,2023-03-01
Mischief,2023,4,535,2023-04-01
Mischief,2023,5,496,2023-05-01
Mischief,2023,6,502,2023-06-01
Mischief,2023,7,566,2023-07-01
Mischief,2023,8,618,2023-08-01
Mischief,2023,9,557,2023-09-01
Mischief,2023,10,513,2023-10-01
Offence Against a Person,2003,1,347,2003-01-01
Offence Against a Person,2003,2,280,2003-02-01
Offence Against a Person,2003,3,316,2003-03-01
Offence Against a Person,2003,4,241,2003-04-01
Offence Against a Person,2003,5,290,2003-05-01
Offence Against a Person,2003,6,311,2003-06-01
Offence Against a Person,2003,7,279,2003-07-01
Offence Against a Person,2003,8,295,2003-08-01
Offence Against a Person,2003,9,269,2003-09-01
Offence Against a Person,2003,10,309,2003-10-01
Offence Against a Person,2003,11,291,2003-11-01
Offence Against a Person,2003,12,284,2003-12-01
Offence Against a Person,2004,1,331,2004-01-01
Offence Against a Person,2004,2,281,2004-02-01
Offence Against a Person,2004,3,343,2004-03-01
Offence Against a Person,2004,4,309,2004-04-01
Offence Against a Person,2004,5,270,2004-05-01
Offence Against a Person,2004,6,310,2004-06-01
Offence Against a Person,2004,7,309,2004-07-01
Offence Against a Person,2004,8,370,2004-08-01
Offence Against a Person,2004,9,338,2004-09-01
Offence Against a Person,2004,10,302,2004-10-01
Offence Against a Person,2004,11,327,2004-11-01
Offence Against a Person,2004,12,308,2004-12-01
Offence Against a Person,2005,1,308,2005-01-01
Offence Against a Person,2005,2,273,2005-02-01
Offence Against a Person,2005,3,293,2005-03-01
Offence Against a Person,2005,4,281,2005-04-01
Offence Against a Person,2005,5,308,2005-05-01
Offence Against a Person,2005,6,289,2005-06-01
Offence Against a Person,2005,7,328,2005-07-01
Offence Against a Person,2005,8,359,2005-08-01
Offence Against a Person,2005,9,343,2005-09-01
Offence Against a Person,2005,10,318,2005-10-01
Offence Against a Person,2005,11,332,2005-11-01
Offence Against a Person,2005,12,332,2005-12-01
Offence Against a Person,2006,1,386,2006-01-01
Offence Against a Person,2006,2,334,2006-02-01
Offence Against a Person,2006,3,360,2006-03-01
Offence Against a Person,2006,4,343,2006-04-01
Offence Against a Person,2006,5,371,2006-05-01
Offence Against a Person,2006,6,352,2006-06-01
Offence Against a Person,2006,7,382,2006-07-01
Offence Against a Person,2006,8,413,2006-08-01
Offence Against a Person,2006,9,348,2006-09-01
Offence Against a Person,2006,10,361,2006-10-01
Offence Against a Person,2006,11,321,2006-11-01
Offence Against a Person,2006,12,348,2006-12-01
Offence Against a Person,2007,1,381,2007-01-01
Offence Against a Person,2007,2,291,2007-02-01
Offence Against a Person,2007,3,362,2007-03-01
Offence Against a Person,2007,4,367,2007-04-01
Offence Against a Person,2007,5,392,2007-05-01
Offence Against a Person,2007,6,347,2007-06-01
Offence Against a Person,2007,7,397,2007-07-01
Offence Against a Person,2007,8,425,2007-08-01
Offence Against a Person,2007,9,335,2007-09-01
Offence Against a Person,2007,10,394,2007-10-01
Offence Against a Person,2007,11,369,2007-11-01
Offence Against a Person,2007,12,335,2007-12-01
Offence Against a Person,2008,1,381,2008-01-01
Offence Against a Person,2008,2,331,2008-02-01
Offence Against a Person,2008,3,339,2008-03-01
Offence Against a Person,2008,4,304,2008-04-01
Offence Against a Person,2008,5,360,2008-05-01
Offence Against a Person,2008,6,328,2008-06-01
Offence Against a Person,2008,7,378,2008-07-01
Offence Against a Person,2008,8,393,2008-08-01
Offence Against a Person,2008,9,368,2008-09-01
Offence Against a Person,2008,10,372,2008-10-01
Offence Against a Person,2008,11,311,2008-11-01
Offence Against a Person,2008,12,336,2008-12-01
Offence Against a Person,2009,1,354,2009-01-01
Offence Against a Person,2009,2,289,2009-02-01
Offence Against a Person,2009,3,288,2009-03-01
Offence Against a Person,2009,4,337,2009-04-01
Offence Against a Person,2009,5,333,2009-05-01
Offence Against a Person,2009,6,304,2009-06-01
Offence Against a Person,2009,7,341,2009-07-01
Offence Against a Person,2009,8,362,2009-08-01
Offence Against a Person,2009,9,321,2009-09-01
Offence Against a Person,2009,10,337,2009-10-01
Offence Against a Person,2009,11,298,2009-11-01
Offence Against a Person,2009,12,305,2009-12-01
Offence Against a Person,2010,1,332,2010-01-01
Offence Against a Person,2010,2,327,2010-02-01
Offence Against a Person,2010,3,305,2010-03-01
Offence Against a Person,2010,4,277,2010-04-01
Offence Against a Person,2010,5,315,2010-05-01
Offence Against a Person,2010,6,334,2010-06-01
Offence Against a Person,2010,7,362,2010-07-01
Offence Against a Person,2010,8,312,2010-08-01
Offence Against a Person,2010,9,296,2010-09-01
Offence Against a Person,2010,10,322,2010-10-01
Offence Against a Person,2010,11,263,2010-11-01
Offence Against a Person,2010,12,308,2010-12-01
Offence Against a Person,2011,1,354,2011-01-01
Offence Against a Person,2011,2,267,2011-02-01
Offence Against a Person,2011,3,305,2011-03-01
Offence Against a Person,2011,4,295,2011-04-01
Offence Against a Person,2011,5,385,2011-05-01
Offence Against a Person,2011,6,318,2011-06-01
Offence Against a Person,2011,7,360,2011-07-01
Offence Against a Person,2011,8,333,2011-08-01
Offence Against a Person,2011,9,307,2011-09-01
Offence Against a Person,2011,10,338,2011-10-01
Offence Against a Person,2011,11,305,2011-11-01
Offence Against a Person,2011,12,308,2011-12-01
Offence Against a Person,2012,1,315,2012-01-01
Offence Against a Person,2012,2,290,2012-02-01
Offence Against a Person,2012,3,289,2012-03-01
Offence Against a Person,2012,4,300,2012-04-01
Offence Against a Person,2012,5,320,2012-05-01
Offence Against a Person,2012,6,349,2012-06-01
Offence Against a Person,2012,7,307,2012-07-01
Offence Against a Person,2012,8,374,2012-08-01
Offence Against a Person,2012,9,347,2012-09-01
Offence Against a Person,2012,10,303,2012-10-01
Offence Against a Person,2012,11,278,2012-11-01
Offence Against a Person,2012,12,292,2012-12-01
Offence Against a Person,2013,1,293,2013-01-01
Offence Against a Person,2013,2,232,2013-02-01
Offence Against a Person,2013,3,319,2013-03-01
Offence Against a Person,2013,4,275,2013-04-01
Offence Against a Person,2013,5,309,2013-05-01
Offence Against a Person,2013,6,289,2013-06-01
Offence Against a Person,2013,7,348,2013-07-01
Offence Against a Person,2013,8,361,2013-08-01
Offence Against a Person,2013,9,311,2013-09-01
Offence Against a Person,2013,10,330,2013-10-01
Offence Against a Person,2013,11,283,2013-11-01
Offence Against a Person,2013,12,283,2013-12-01
Offence Against a Person,2014,1,283,2014-01-01
Offence Against a Person,2014,2,229,2014-02-01
Offence Against a Person,2014,3,283,2014-03-01
Offence Against a Person,2014,4,251,2014-04-01
Offence Against a Person,2014,5,294,2014-05-01
Offence Against a Person,2014,6,301,2014-06-01
Offence Against a Person,2014,7,277,2014-07-01
Offence Against a Person,2014,8,257,2014-08-01
Offence Against a Person,2014,9,223,2014-09-01
Offence Against a Person,2014,10,241,2014-10-01
Offence Against a Person,2014,11,241,2014-11-01
Offence Against a Person,2014,12,233,2014-12-01
Offence Against a Person,2015,1,296,2015-01-01
Offence Against a Person,2015,2,212,2015-02-01
Offence Against a Person,2015,3,245,2015-03-01
Offence Against a Person,2015,4,220,2015-04-01
Offence Against a Person,2015,5,309,2015-05-01
Offence Against a Person,2015,6,294,2015-06-01
Offence Against a Person,2015,7,270,2015-07-01
Offence Against a Person,2015,8,262,2015-08-01
Offence Against a Person,2015,9,242,2015-09-01
Offence Against a Person,2015,10,275,2015-10-01
Offence Against a Person,2015,11,290,2015-11-01
Offence Against a Person,2015,12,284,2015-12-01
Offence Against a Person,2016,1,291,2016-01-01
Offence Against a Person,2016,2,242,2016-02-01
Offence Against a Person,2016,3,253,2016-03-01
Offence Against a Person,2016,4,243,2016-04-01
Offence Against a Person,2016,5,266,2016-05-01
Offence Against a Person,2016,6,245,2016-06-01
Offence Against a Person,2016,7,310,2016-07-01
Offence Against a Person,2016,8,319,2016-08-01
Offence Against a Person,2016,9,249,2016-09-01
Offence Against a Person,2016,10,293,2016-10-01
Offence Against a Person,2016,11,256,2016-11-01
Offence Against a Person,2016,12,219,2016-12-01
Offence Against a Person,2017,1,272,2017-01-01
Offence Against a Person,2017,2,233,2017-02-01
Offence Against a Person,2017,3,232,2017-03-01
Offence Against a Person,2017,4,262,2017-04-01
Offence Against a Person,2017,5,283,2017-05-01
Offence Against a Person,2017,6,253,2017-06-01
Offence Against a Person,2017,7,285,2017-07-01
Offence Against a Person,2017,8,277,2017-08-01
Offence Against a Person,2017,9,291,2017-09-01
Offence Against a Person,2017,10,248,2017-10-01
Offence Against a Person,2017,11,259,2017-11-01
Offence Against a Person,2017,12,271,2017-12-01
Offence Against a Person,2018,1,283,2018-01-01
Offence Against a Person,2018,2,222,2018-02-01
Offence Against a Person,2018,3,269,2018-03-01
Offence Against a Person,2018,4,238,2018-04-01
Offence Against a Person,2018,5,231,2018-05-01
Offence Against a Person,2018,6,257,2018-06-01
Offence Against a Person,2018,7,276,2018-07-01
Offence Against a Person,2018,8,282,2018-08-01
Offence Against a Person,2018,9,277,2018-09-01
Offence Against a Person,2018,10,230,2018-10-01
Offence Against a Person,2018,11,250,2018-11-01
Offence Against a Person,2018,12,268,2018-12-01
Offence Against a Person,2019,1,246,2019-01-01
Offence Against a Person,2019,2,225,2019-02-01
Offence Against a Person,2019,3,286,2019-03-01
Offence Against a Person,2019,4,261,2019-04-01
Offence Against a Person,2019,5,301,2019-05-01
Offence Against a Person,2019,6,302,2019-06-01
Offence Against a Person,2019,7,337,2019-07-01
Offence Against a Person,2019,8,384,2019-08-01
Offence Against a Person,2019,9,315,2019-09-01
Offence Against a Person,2019,10,276,2019-10-01
Offence Against a Person,2019,11,264,2019-11-01
Offence Against a Person,2019,12,266,2019-12-01
Offence Against a Person,2020,1,309,2020-01-01
Offence Against a Person,2020,2,263,2020-02-01
Offence Against a Person,2020,3,317,2020-03-01
Offence Against a Person,2020,4,291,2020-04-01
Offence Against a Person,2020,5,318,2020-05-01
Offence Against a Person,2020,6,322,2020-06-01
Offence Against a Person,2020,7,340,2020-07-01
Offence Against a Person,2020,8,357,2020-08-01
Offence Against a Person,2020,9,364,2020-09-01
Offence Against a Person,2020,10,293,2020-10-01
Offence Against a Person,2020,11,288,2020-11-01
Offence Against a Person,2020,12,295,2020-12-01
Offence Against a Person,2021,1,288,2021-01-01
Offence Against a Person,2021,2,268,2021-02-01
Offence Against a Person,2021,3,326,2021-03-01
Offence Against a Person,2021,4,304,2021-04-01
Offence Against a Person,2021,5,321,2021-05-01
Offence Against a Person,2021,6,284,2021-06-01
Offence Against a Person,2021,7,367,2021-07-01
Offence Against a Person,2021,8,345,2021-08-01
Offence Against a Person,2021,9,340,2021-09-01
Offence Against a Person,2021,10,327,2021-10-01
Offence Against a Person,2021,11,320,2021-11-01
Offence Against a Person,2021,12,275,2021-12-01
Offence Against a Person,2022,1,325,2022-01-01
Offence Against a Person,2022,2,273,2022-02-01
Offence Against a Person,2022,3,274,2022-03-01
Offence Against a Person,2022,4,289,2022-04-01
Offence Against a Person,2022,5,335,2022-05-01
Offence Against a Person,2022,6,344,2022-06-01
Offence Against a Person,2022,7,432,2022-07-01
Offence Against a Person,2022,8,359,2022-08-01
Offence Against a Person,2022,9,377,2022-09-01
Offence Against a Person,2022,10,329,2022-10-01
Offence Against a Person,2022,11,280,2022-11-01
Offence Against a Person,2022,12,301,2022-12-01
Offence Against a Person,2023,1,304,2023-01-01
Offence Against a Person,2023,2,280,2023-02-01
Offence Against a Person,2023,3,290,2023-03-01
Offence Against a Person,2023,4,306,2023-04-01
Offence Against a Person,2023,5,345,2023-05-01
Offence Against a Person,2023,6,368,2023-06-01
Offence Against a Person,2023,7,369,2023-07-01
Offence Against a Person,2023,8,370,2023-08-01
Offence Against a Person,2023,9,365,2023-09-01
Offence Against a Person,2023,10,291,2023-10-01
Other Theft,2003,1,879,2003-01-01
Other Theft,2003,2,913,2003-02-01
Other Theft,2003,3,936,2003-03-01
Other Theft,2003,4,910,2003-04-01
Other Theft,2003,5,1010,2003-05-01
Other Theft,2003,6,1052,2003-06-01
Other Theft,2003,7,1025,2003-07-01
Other Theft,2003,8,1037,2003-08-01
Other Theft,2003,9,879,2003-09-01
Other Theft,2003,10,953,2003-10-01
Other Theft,2003,11,955,2003-11-01
Other Theft,2003,12,877,2003-12-01
Other Theft,2004,1,949,2004-01-01
Other Theft,2004,2,868,2004-02-01
Other Theft,2004,3,901,2004-03-01
Other Theft,2004,4,956,2004-04-01
Other Theft,2004,5,927,2004-05-01
Other Theft,2004,6,898,2004-06-01
Other Theft,2004,7,1005,2004-07-01
Other Theft,2004,8,1086,2004-08-01
Other Theft,2004,9,930,2004-09-01
Other Theft,2004,10,1017,2004-10-01
Other Theft,2004,11,939,2004-11-01
Other Theft,2004,12,962,2004-12-01
Other Theft,2005,1,849,2005-01-01
Other Theft,2005,2,897,2005-02-01
Other Theft,2005,3,993,2005-03-01
Other Theft,2005,4,967,2005-04-01
Other Theft,2005,5,981,2005-05-01
Other Theft,2005,6,973,2005-06-01
Other Theft,2005,7,1008,2005-07-01
Other Theft,2005,8,1030,2005-08-01
Other Theft,2005,9,979,2005-09-01
Other Theft,2005,10,1012,2005-10-01
Other Theft,2005,11,830,2005-11-01
Other Theft,2005,12,838,2005-12-01
Other Theft,2006,1,855,2006-01-01
Other Theft,2006,2,886,2006-02-01
Other Theft,2006,3,978,2006-03-01
Other Theft,2006,4,794,2006-04-01
Other Theft,2006,5,874,2006-05-01
Other Theft,2006,6,918,2006-06-01
Other Theft,2006,7,968,2006-07-01
Other Theft,2006,8,933,2006-08-01
Other Theft,2006,9,856,2006-09-01
Other Theft,2006,10,756,2006-10-01
Other Theft,2006,11,734,2006-11-01
Other Theft,2006,12,748,2006-12-01
Other Theft,2007,1,793,2007-01-01
Other Theft,2007,2,764,2007-02-01
