,TYPE,YEAR,MONTH,Observations,YEAR-MONTH
498,Break and Enter Residential/Other,2023,8,95,2023-08-01
499,Break and Enter Residential/Other,2023,9,100,2023-09-01
500,Break and Enter Residential/Other,2023,10,115,2023-10-01
502,Homicide,2003,3,1,2003-03-01
503,Homicide,2003,4,1,2003-04-01
504,Homicide,2003,5,2,2003-05-01
505,Homicide,2003,7,2,2003-07-01
506,Homicide,2003,8,4,2003-08-01
507,Homicide,2003,9,1,2003-09-01
508,Homicide,2003,10,1,2003-10-01
509,Homicide,2003,11,4,2003-11-01
510,Homicide,2003,12,1,2003-12-01
511,Homicide,2004,1,2,2004-01-01
512,Homicide,2004,2,2,2004-02-01
513,Homicide,2004,3,2,2004-03-01
514,Homicide,2004,4,3,2004-04-01
515,Homicide,2004,5,3,2004-05-01
516,Homicide,2004,7,2,2004-07-01
517,Homicide,2004,8,3,2004-08-01
518,Homicide,2004,9,3,2004-09-01
519,Homicide,2004,11,2,2004-11-01
520,Homicide,2005,1,2,2005-01-01
521,Homicide,2005,2,1,2005-02-01
522,Homicide,2005,3,1,2005-03-01
523,Homicide,2005,4,1,2005-04-01
524,Homicide,2005,5,3,2005-05-01
525,Homicide,2005,6,2,2005-06-01
526,Homicide,2005,7,1,2005-07-01
527,Homicide,2005,8,2,2005-08-01
528,Homicide,2005,9,2,2005-09-01
529,Homicide,2005,10,1,2005-10-01
530,Homicide,2005,11,2,2005-11-01
531,Homicide,2005,12,4,2005-12-01
532,Homicide,2006,1,1,2006-01-01
533,Homicide,2006,2,2,2006-02-01
534,Homicide,2006,3,3,2006-03-01
535,Homicide,2006,4,2,2006-04-01
536,Homicide,2006,5,4,2006-05-01
537,Homicide,2006,7,2,2006-07-01
538,Homicide,2006,8,2,2006-08-01
539,Homicide,2006,10,1,2006-10-01
540,Homicide,2006,11,1,2006-11-01
541,Homicide,2007,2,4,2007-02-01
542,Homicide,2007,3,1,2007-03-01
543,Homicide,2007,5,2,2007-05-01
544,Homicide,2007,6,2,2007-06-01
545,Homicide,2007,8,4,2007-08-01
546,Homicide,2007,9,2,2007-09-01
547,Homicide,2007,10,1,2007-10-01
548,Homicide,2007,11,2,2007-11-01
549,Homicide,2007,12,1,2007-12-01
550,Homicide,2008,1,2,2008-01-01
551,Homicide,2008,2,4,2008-02-01
552,Homicide,2008,3,3,2008-03-01
553,Homicide,2008,5,1,2008-05-01
554,Homicide,2008,7,2,2008-07-01
555,Homicide,2008,8,2,2008-08-01
556,Homicide,2008,9,1,2008-09-01
557,Homicide,2008,10,2,2008-10-01
558,Homicide,2008,12,1,2008-12-01
559,Homicide,2009,1,3,2009-01-01
560,Homicide,2009,2,4,2009-02-01
561,Homicide,2009,3,2,2009-03-01
562,Homicide,2009,4,4,2009-04-01
563,Homicide,2009,6,1,2009-06-01
564,Homicide,2009,7,2,2009-07-01
565,Homicide,2009,8,1,2009-08-01
566,Homicide,2009,9,1,2009-09-01
567,Homicide,2010,1,2,2010-01-01
568,Homicide,2010,3,1,2010-03-01
569,Homicide,2010,4,1,2010-04-01
570,Homicide,2010,5,1,2010-05-01
571,Homicide,2010,6,1,2010-06-01
572,Homicide,2010,8,1,2010-08-01
573,Homicide,2010,9,1,2010-09-01
574,Homicide,2010,10,1,2010-10-01
575,Homicide,2010,11,1,2010-11-01
576,Homicide,2011,2,1,2011-02-01
577,Homicide,2011,3,2,2011-03-01
578,Homicide,2011,4,1,2011-04-01
579,Homicide,2011,6,3,2011-06-01
580,Homicide,2011,7,3,2011-07-01
581,Homicide,2011,9,1,2011-09-01
582,Homicide,2011,10,1,2011-10-01
583,Homicide,2011,11,1,2011-11-01
584,Homicide,2011,12,2,2011-12-01
585,Homicide,2012,1,1,2012-01-01
586,Homicide,2012,2,1,2012-02-01
587,Homicide,2012,3,1,2012-03-01
588,Homicide,2012,5,2,2012-05-01
589,Homicide,2012,8,1,2012-08-01
590,Homicide,2012,10,2,2012-10-01
591,Homicide,2013,1,1,2013-01-01
592,Homicide,2013,2,1,2013-02-01
593,Homicide,2013,3,1,2013-03-01
594,Homicide,2013,6,1,2013-06-01
595,Homicide,2013,8,1,2013-08-01
596,Homicide,2013,10,1,2013-10-01
597,Homicide,2013,12,1,2013-12-01
598,Homicide,2014,2,1,2014-02-01
599,Homicide,2014,3,1,2014-03-01
600,Homicide,2014,4,3,2014-04-01
601,Homicide,2014,5,1,2014-05-01
602,Homicide,2014,6,1,2014-06-01
603,Homicide,2014,11,2,2014-11-01
604,Homicide,2015,1,1,2015-01-01
605,Homicide,2015,2,1,2015-02-01
606,Homicide,2015,3,3,2015-03-01
607,Homicide,2015,4,1,2015-04-01
608,Homicide,2015,7,3,2015-07-01
609,Homicide,2015,8,3,2015-08-01
610,Homicide,2015,9,2,2015-09-01
611,Homicide,2015,11,1,2015-11-01
612,Homicide,2016,1,1,2016-01-01
613,Homicide,2016,3,2,2016-03-01
614,Homicide,2016,5,2,2016-05-01
615,Homicide,2016,6,1,2016-06-01
616,Homicide,2016,8,1,2016-08-01
617,Homicide,2016,9,3,2016-09-01
618,Homicide,2016,11,1,2016-11-01
619,Homicide,2016,12,1,2016-12-01
620,Homicide,2017,1,1,2017-01-01
621,Homicide,2017,2,2,2017-02-01
622,Homicide,2017,3,3,2017-03-01
623,Homicide,2017,4,2,2017-04-01
624,Homicide,2017,5,1,2017-05-01
625,Homicide,2017,6,1,2017-06-01
626,Homicide,2017,7,1,2017-07-01
627,Homicide,2017,8,1,2017-08-01
628,Homicide,2017,9,1,2017-09-01
629,Homicide,2017,10,2,2017-10-01
630,Homicide,2017,11,1,2017-11-01
631,Homicide,2017,12,1,2017-12-01
632,Homicide,2018,1,4,2018-01-01
633,Homicide,2018,2,2,2018-02-01
634,Homicide,2018,4,2,2018-04-01
635,Homicide,2018,6,2,2018-06-01
636,Homicide,2018,7,2,2018-07-01
637,Homicide,2018,8,1,2018-08-01
638,Homicide,2018,11,1,2018-11-01
639,Homicide,2018,12,1,2018-12-01
640,Homicide,2019,1,3,2019-01-01
641,Homicide,2019,3,1,2019-03-01
642,Homicide,2019,4,2,2019-04-01
643,Homicide,2019,6,2,2019-06-01
644,Homicide,2019,9,1,2019-09-01
645,Homicide,2019,10,1,2019-10-01
646,Homicide,2019,11,2,2019-11-01
647,Homicide,2020,1,3,2020-01-01
648,Homicide,2020,2,1,2020-02-01
649,Homicide,2020,5,2,2020-05-01
650,Homicide,2020,7,4,2020-07-01
651,Homicide,2020,8,1,2020-08-01
652,Homicide,2020,9,3,2020-09-01
653,Homicide,2020,10,1,2020-10-01
654,Homicide,2020,11,1,2020-11-01
655,Homicide,2020,12,3,2020-12-01
656,Homicide,2021,1,2,2021-01-01
657,Homicide,2021,3,2,2021-03-01
658,Homicide,2021,4,3,2021-04-01
659,Homicide,2021,5,1,2021-05-01
660,Homicide,2021,6,2,2021-06-01
661,Homicide,2021,7,3,2021-07-01
662,Homicide,2021,8,1,2021-08-01
663,Homicide,2021,9,1,2021-09-01
664,Homicide,2021,10,1,2021-10-01
665,Homicide,2021,11,1,2021-11-01
666,Homicide,2021,12,2,2021-12-01
667,Homicide,2022,2,1,2022-02-01
668,Homicide,2022,5,3,2022-05-01
669,Homicide,2022,6,2,2022-06-01
670,Homicide,2022,7,2,2022-07-01
671,Homicide,2022,11,3,2022-11-01
672,Homicide,2023,1,3,2023-01-01
673,Homicide,2023,2,1,2023-02-01
674,Homicide,2023,3,2,2023-03-01
675,Homicide,2023,5,2,2023-05-01
676,Homicide,2023,6,1,2023-06-01
677,Homicide,2023,7,1,2023-07-01
678,Homicide,2023,8,1,2023-08-01
679,Homicide,2023,9,2,2023-09-01
680,Mischief,2003,1,551,2003-01-01
681,Mischief,2003,2,483,2003-02-01
682,Mischief,2003,3,575,2003-03-01
683,Mischief,2003,4,620,2003-04-01
684,Mischief,2003,5,589,2003-05-01
685,Mischief,2003,6,571,2003-06-01
686,Mischief,2003,7,555,2003-07-01
687,Mischief,2003,8,508,2003-08-01
688,Mischief,2003,9,475,2003-09-01
689,Mischief,2003,10,570,2003-10-01
690,Mischief,2003,11,465,2003-11-01
691,Mischief,2003,12,425,2003-12-01
692,Mischief,2004,1,451,2004-01-01
693,Mischief,2004,2,401,2004-02-01
694,Mischief,2004,3,426,2004-03-01
695,Mischief,2004,4,462,2004-04-01
696,Mischief,2004,5,479,2004-05-01
697,Mischief,2004,6,491,2004-06-01
698,Mischief,2004,7,494,2004-07-01
699,Mischief,2004,8,489,2004-08-01
700,Mischief,2004,9,506,2004-09-01
701,Mischief,2004,10,492,2004-10-01
702,Mischief,2004,11,453,2004-11-01
703,Mischief,2004,12,454,2004-12-01
704,Mischief,2005,1,375,2005-01-01
705,Mischief,2005,2,360,2005-02-01
706,Mischief,2005,3,475,2005-03-01
707,Mischief,2005,4,444,2005-04-01
708,Mischief,2005,5,477,2005-05-01
709,Mischief,2005,6,426,2005-06-01
710,Mischief,2005,7,420,2005-07-01
711,Mischief,2005,8,416,2005-08-01
712,Mischief,2005,9,378,2005-09-01
713,Mischief,2005,10,456,2005-10-01
714,Mischief,2005,11,366,2005-11-01
715,Mischief,2005,12,469,2005-12-01
716,Mischief,2006,1,444,2006-01-01
717,Mischief,2006,2,385,2006-02-01
718,Mischief,2006,3,456,2006-03-01
719,Mischief,2006,4,423,2006-04-01
720,Mischief,2006,5,407,2006-05-01
721,Mischief,2006,6,423,2006-06-01
722,Mischief,2006,7,492,2006-07-01
723,Mischief,2006,8,459,2006-08-01
724,Mischief,2006,9,455,2006-09-01
725,Mischief,2006,10,477,2006-10-01
726,Mischief,2006,11,354,2006-11-01
727,Mischief,2006,12,405,2006-12-01
728,Mischief,2007,1,357,2007-01-01
729,Mischief,2007,2,343,2007-02-01
730,Mischief,2007,3,357,2007-03-01
731,Mischief,2007,4,400,2007-04-01
732,Mischief,2007,5,428,2007-05-01
733,Mischief,2007,6,450,2007-06-01
734,Mischief,2007,7,408,2007-07-01
735,Mischief,2007,8,466,2007-08-01
736,Mischief,2007,9,392,2007-09-01
737,Mischief,2007,10,425,2007-10-01
738,Mischief,2007,11,389,2007-11-01
739,Mischief,2007,12,397,2007-12-01
740,Mischief,2008,1,354,2008-01-01
741,Mischief,2008,2,456,2008-02-01
742,Mischief,2008,3,630,2008-03-01
743,Mischief,2008,4,511,2008-04-01
744,Mischief,2008,5,425,2008-05-01
745,Mischief,2008,6,413,2008-06-01
746,Mischief,2008,7,432,2008-07-01
747,Mischief,2008,8,442,2008-08-01
748,Mischief,2008,9,366,2008-09-01
749,Mischief,2008,10,469,2008-10-01
750,Mischief,2008,11,442,2008-11-01
751,Mischief,2008,12,330,2008-12-01
752,Mischief,2009,1,370,2009-01-01
753,Mischief,2009,2,314,2009-02-01
754,Mischief,2009,3,373,2009-03-01
755,Mischief,2009,4,362,2009-04-01
756,Mischief,2009,5,426,2009-05-01
757,Mischief,2009,6,386,2009-06-01
758,Mischief,2009,7,404,2009-07-01
759,Mischief,2009,8,379,2009-08-01
760,Mischief,2009,9,360,2009-09-01
761,Mischief,2009,10,370,2009-10-01
762,Mischief,2009,11,355,2009-11-01
763,Mischief,2009,12,326,2009-12-01
764,Mischief,2010,1,390,2010-01-01
765,Mischief,2010,2,358,2010-02-01
766,Mischief,2010,3,332,2010-03-01
767,Mischief,2010,4,357,2010-04-01
768,Mischief,2010,5,448,2010-05-01
769,Mischief,2010,6,391,2010-06-01
770,Mischief,2010,7,380,2010-07-01
771,Mischief,2010,8,397,2010-08-01
772,Mischief,2010,9,341,2010-09-01
773,Mischief,2010,10,442,2010-10-01
774,Mischief,2010,11,354,2010-11-01
775,Mischief,2010,12,324,2010-12-01
776,Mischief,2011,1,341,2011-01-01
777,Mischief,2011,2,319,2011-02-01
778,Mischief,2011,3,380,2011-03-01
779,Mischief,2011,4,380,2011-04-01
780,Mischief,2011,5,368,2011-05-01
781,Mischief,2011,6,813,2011-06-01
782,Mischief,2011,7,397,2011-07-01
783,Mischief,2011,8,381,2011-08-01
784,Mischief,2011,9,357,2011-09-01
785,Mischief,2011,10,379,2011-10-01
786,Mischief,2011,11,349,2011-11-01
787,Mischief,2011,12,370,2011-12-01
788,Mischief,2012,1,342,2012-01-01
789,Mischief,2012,2,326,2012-02-01
790,Mischief,2012,3,335,2012-03-01
791,Mischief,2012,4,306,2012-04-01
792,Mischief,2012,5,379,2012-05-01
793,Mischief,2012,6,379,2012-06-01
794,Mischief,2012,7,357,2012-07-01
795,Mischief,2012,8,369,2012-08-01
796,Mischief,2012,9,386,2012-09-01
797,Mischief,2012,10,359,2012-10-01
798,Mischief,2012,11,367,2012-11-01
799,Mischief,2012,12,323,2012-12-01
800,Mischief,2013,1,315,2013-01-01
801,Mischief,2013,2,290,2013-02-01
802,Mischief,2013,3,398,2013-03-01
803,Mischief,2013,4,350,2013-04-01
804,Mischief,2013,5,380,2013-05-01
805,Mischief,2013,6,322,2013-06-01
806,Mischief,2013,7,387,2013-07-01
807,Mischief,2013,8,345,2013-08-01
808,Mischief,2013,9,355,2013-09-01
809,Mischief,2013,10,380,2013-10-01
810,Mischief,2013,11,348,2013-11-01
811,Mischief,2013,12,311,2013-12-01
812,Mischief,2014,1,358,2014-01-01
813,Mischief,2014,2,349,2014-02-01
814,Mischief,2014,3,377,2014-03-01
815,Mischief,2014,4,416,2014-04-01
816,Mischief,2014,5,380,2014-05-01
817,Mischief,2014,6,359,2014-06-01
818,Mischief,2014,7,392,2014-07-01
819,Mischief,2014,8,413,2014-08-01
820,Mischief,2014,9,377,2014-09-01
821,Mischief,2014,10,422,2014-10-01
822,Mischief,2014,11,338,2014-11-01
823,Mischief,2014,12,328,2014-12-01
824,Mischief,2015,1,315,2015-01-01
825,Mischief,2015,2,322,2015-02-01
826,Mischief,2015,3,339,2015-03-01
827,Mischief,2015,4,347,2015-04-01
828,Mischief,2015,5,379,2015-05-01
829,Mischief,2015,6,326,2015-06-01
830,Mischief,2015,7,365,2015-07-01
831,Mischief,2015,8,338,2015-08-01
832,Mischief,2015,9,320,2015-09-01
833,Mischief,2015,10,398,2015-10-01
834,Mischief,2015,11,387,2015-11-01
835,Mischief,2015,12,342,2015-12-01
836,Mischief,2016,1,381,2016-01-01
837,Mischief,2016,2,340,2016-02-01
838,Mischief,2016,3,379,2016-03-01
839,Mischief,2016,4,416,2016-04-01
840,Mischief,2016,5,410,2016-05-01
841,Mischief,2016,6,396,2016-06-01
842,Mischief,2016,7,422,2016-07-01
843,Mischief,2016,8,400,2016-08-01
844,Mischief,2016,9,388,2016-09-01
845,Mischief,2016,10,361,2016-10-01
846,Mischief,2016,11,343,2016-11-01
847,Mischief,2016,12,345,2016-12-01
848,Mischief,2017,1,365,2017-01-01
849,Mischief,2017,2,329,2017-02-01
850,Mischief,2017,3,440,2017-03-01
851,Mischief,2017,4,448,2017-04-01
852,Mischief,2017,5,451,2017-05-01
853,Mischief,2017,6,421,2017-06-01
854,Mischief,2017,7,420,2017-07-01
855,Mischief,2017,8,478,2017-08-01
856,Mischief,2017,9,438,2017-09-01
857,Mischief,2017,10,524,2017-10-01
858,Mischief,2017,11,514,2017-11-01
859,Mischief,2017,12,542,2017-12-01
860,Mischief,2018,1,510,2018-01-01
861,Mischief,2018,2,422,2018-02-01
862,Mischief,2018,3,509,2018-03-01
863,Mischief,2018,4,479,2018-04-01
864,Mischief,2018,5,426,2018-05-01
865,Mischief,2018,6,499,2018-06-01
866,Mischief,2018,7,451,2018-07-01
867,Mischief,2018,8,483,2018-08-01
868,Mischief,2018,9,471,2018-09-01
869,Mischief,2018,10,529,2018-10-01
870,Mischief,2018,11,469,2018-11-01
871,Mischief,2018,12,468,2018-12-01
872,Mischief,2019,1,485,2019-01-01
873,Mischief,2019,2,402,2019-02-01
874,Mischief,2019,3,458,2019-03-01
875,Mischief,2019,4,452,2019-04-01
876,Mischief,2019,5,468,2019-05-01
877,Mischief,2019,6,451,2019-06-01
878,Mischief,2019,7,536,2019-07-01
879,Mischief,2019,8,509,2019-08-01
880,Mischief,2019,9,495,2019-09-01
881,Mischief,2019,10,529,2019-10-01
882,Mischief,2019,11,506,2019-11-01
883,Mischief,2019,12,541,2019-12-01
884,Mischief,2020,1,634,2020-01-01
885,Mischief,2020,2,611,2020-02-01
886,Mischief,2020,3,577,2020-03-01
887,Mischief,2020,4,567,2020-04-01
888,Mischief,2020,5,440,2020-05-01
889,Mischief,2020,6,438,2020-06-01
890,Mischief,2020,7,468,2020-07-01
891,Mischief,2020,8,438,2020-08-01
892,Mischief,2020,9,491,2020-09-01
893,Mischief,2020,10,532,2020-10-01
894,Mischief,2020,11,460,2020-11-01
895,Mischief,2020,12,453,2020-12-01
896,Mischief,2021,1,500,2021-01-01
897,Mischief,2021,2,421,2021-02-01
898,Mischief,2021,3,447,2021-03-01
899,Mischief,2021,4,445,2021-04-01
900,Mischief,2021,5,489,2021-05-01
901,Mischief,2021,6,414,2021-06-01
902,Mischief,2021,7,458,2021-07-01
903,Mischief,2021,8,477,2021-08-01
904,Mischief,2021,9,492,2021-09-01
905,Mischief,2021,10,481,2021-10-01
906,Mischief,2021,11,400,2021-11-01
907,Mischief,2021,12,383,2021-12-01
908,Mischief,2022,1,468,2022-01-01
909,Mischief,2022,2,452,2022-02-01
910,Mischief,2022,3,491,2022-03-01
911,Mischief,2022,4,484,2022-04-01
912,Mischief,2022,5,477,2022-05-01
913,Mischief,2022,6,428,2022-06-01
914,Mischief,2022,7,499,2022-07-01
915,Mischief,2022,8,505,2022-08-01
916,Mischief,2022,9,507,2022-09-01
917,Mischief,2022,10,519,2022-10-01
918,Mischief,2022,11,406,2022-11-01
919,Mischief,2022,12,378,2022-12-01
920,Mischief,2023,1,503,2023-01-01
921,Mischief,2023,2,443,2023-02-01
922,Mischief,2023,3,626,2023-03-01
923,Mischief,2023,4,535,2023-04-01
924,Mischief,2023,5,496,2023-05-01
925,Mischief,2023,6,502,2023-06-01
926,Mischief,2023,7,566,2023-07-01
927,Mischief,2023,8,618,2023-08-01
928,Mischief,2023,9,557,2023-09-01
929,Mischief,2023,10,513,2023-10-01
931,Offence Against a Person,2003,1,347,2003-01-01
932,Offence Against a Person,2003,2,280,2003-02-01
933,Offence Against a Person,2003,3,316,2003-03-01
934,Offence Against a Person,2003,4,241,2003-04-01
935,Offence Against a Person,2003,5,290,2003-05-01
936,Offence Against a Person,2003,6,311,2003-06-01
937,Offence Against a Person,2003,7,279,2003-07-01
938,Offence Against a Person,2003,8,295,2003-08-01
939,Offence Against a Person,2003,9,269,2003-09-01
940,Offence Against a Person,2003,10,309,2003-10-01
941,Offence Against a Person,2003,11,291,2003-11-01
942,Offence Against a Person,2003,12,284,2003-12-01
943,Offence Against a Person,2004,1,331,2004-01-01
944,Offence Against a Person,2004,2,281,2004-02-01
945,Offence Against a Person,2004,3,343,2004-03-01
946,Offence Against a Person,2004,4,309,2004-04-01
947,Offence Against a Person,2004,5,270,2004-05-01
948,Offence Against a Person,2004,6,310,2004-06-01
949,Offence Against a Person,2004,7,309,2004-07-01
950,Offence Against a Person,2004,8,370,2004-08-01
951,Offence Against a Person,2004,9,338,2004-09-01
952,Offence Against a Person,2004,10,302,2004-10-01
953,Offence Against a Person,2004,11,327,2004-11-01
954,Offence Against a Person,2004,12,308,2004-12-01
955,Offence Against a Person,2005,1,308,2005-01-01
956,Offence Against a Person,2005,2,273,2005-02-01
957,Offence Against a Person,2005,3,293,2005-03-01
958,Offence Against a Person,2005,4,281,2005-04-01
959,Offence Against a Person,2005,5,308,2005-05-01
960,Offence Against a Person,2005,6,289,2005-06-01
961,Offence Against a Person,2005,7,328,2005-07-01
962,Offence Against a Person,2005,8,359,2005-08-01
963,Offence Against a Person,2005,9,343,2005-09-01
964,Offence Against a Person,2005,10,318,2005-10-01
965,Offence Against a Person,2005,11,332,2005-11-01
966,Offence Against a Person,2005,12,332,2005-12-01
967,Offence Against a Person,2006,1,386,2006-01-01
968,Offence Against a Person,2006,2,334,2006-02-01
969,Offence Against a Person,2006,3,360,2006-03-01
970,Offence Against a Person,2006,4,343,2006-04-01
971,Offence Against a Person,2006,5,371,2006-05-01
972,Offence Against a Person,2006,6,352,2006-06-01
973,Offence Against a Person,2006,7,382,2006-07-01
974,Offence Against a Person,2006,8,413,2006-08-01
975,Offence Against a Person,2006,9,348,2006-09-01
976,Offence Against a Person,2006,10,361,2006-10-01
977,Offence Against a Person,2006,11,321,2006-11-01
978,Offence Against a Person,2006,12,348,2006-12-01
979,Offence Against a Person,2007,1,381,2007-01-01
980,Offence Against a Person,2007,2,291,2007-02-01
981,Offence Against a Person,2007,3,362,2007-03-01
982,Offence Against a Person,2007,4,367,2007-04-01
983,Offence Against a Person,2007,5,392,2007-05-01
984,Offence Against a Person,2007,6,347,2007-06-01
985,Offence Against a Person,2007,7,397,2007-07-01
986,Offence Against a Person,2007,8,425,2007-08-01
987,Offence Against a Person,2007,9,335,2007-09-01
988,Offence Against a Person,2007,10,394,2007-10-01
989,Offence Against a Person,2007,11,369,2007-11-01
990,Offence Against a Person,2007,12,335,2007-12-01
991,Offence Against a Person,2008,1,381,2008-01-01
992,Offence Against a Person,2008,2,331,2008-02-01
993,Offence Against a Person,2008,3,339,2008-03-01
994,Offence Against a Person,2008,4,304,2008-04-01
995,Offence Against a Person,2008,5,360,2008-05-01
996,Offence Against a Person,2008,6,328,2008-06-01
997,Offence Against a Person,2008,7,378,2008-07-01
998,Offence Against a Person,2008,8,393,2008-08-01
999,Offence Against a Person,2008,9,368,2008-09-01
1000,Offence Against a Person,2008,10,372,2008-10-01
1001,Offence Against a Person,2008,11,311,2008-11-01
1002,Offence Against a Person,2008,12,336,2008-12-01
1003,Offence Against a Person,2009,1,354,2009-01-01
1004,Offence Against a Person,2009,2,289,2009-02-01
1005,Offence Against a Person,2009,3,288,2009-03-01
1006,Offence Against a Person,2009,4,337,2009-04-01
1007,Offence Against a Person,2009,5,333,2009-05-01
1008,Offence Against a Person,2009,6,304,2009-06-01
1009,Offence Against a Person,2009,7,341,2009-07-01
1010,Offence Against a Person,2009,8,362,2009-08-01
1011,Offence Against a Person,2009,9,321,2009-09-01
1012,Offence Against a Person,2009,10,337,2009-10-01
1013,Offence Against a Person,2009,11,298,2009-11-01
1014,Offence Against a Person,2009,12,305,2009-12-01
1015,Offence Against a Person,2010,1,332,2010-01-01
1016,Offence Against a Person,2010,2,327,2010-02-01
1017,Offence Against a Person,2010,3,305,2010-03-01
1018,Offence Against a Person,2010,4,277,2010-04-01
1019,Offence Against a Person,2010,5,315,2010-05-01
1020,Offence Against a Person,2010,6,334,2010-06-01
1021,Offence Against a Person,2010,7,362,2010-07-01
1022,Offence Against a Person,2010,8,312,2010-08-01
1023,Offence Against a Person,2010,9,296,2010-09-01
1024,Offence Against a Person,2010,10,322,2010-10-01
1025,Offence Against a Person,2010,11,263,2010-11-01
1026,Offence Against a Person,2010,12,308,2010-12-01
1027,Offence Against a Person,2011,1,354,2011-01-01
1028,Offence Against a Person,2011,2,267,2011-02-01
1029,Offence Against a Person,2011,3,305,2011-03-01
1030,Offence Against a Person,2011,4,295,2011-04-01
1031,Offence Against a Person,2011,5,385,2011-05-01
1032,Offence Against a Person,2011,6,318,2011-06-01
1033,Offence Against a Person,2011,7,360,2011-07-01
1034,Offence Against a Person,2011,8,333,2011-08-01
1035,Offence Against a Person,2011,9,307,2011-09-01
1036,Offence Against a Person,2011,10,338,2011-10-01
1037,Offence Against a Person,2011,11,305,2011-11-01
1038,Offence Against a Person,2011,12,308,2011-12-01
1039,Offence Against a Person,2012,1,315,2012-01-01
1040,Offence Against a Person,2012,2,290,2012-02-01
1041,Offence Against a Person,2012,3,289,2012-03-01
1042,Offence Against a Person,2012,4,300,2012-04-01
1043,Offence Against a Person,2012,5,320,2012-05-01
1044,Offence Against a Person,2012,6,349,2012-06-01
1045,Offence Against a Person,2012,7,307,2012-07-01
1046,Offence Against a Person,2012,8,374,2012-08-01
1047,Offence Against a Person,2012,9,347,2012-09-01
1048,Offence Against a Person,2012,10,303,2012-10-01
1049,Offence Against a Person,2012,11,278,2012-11-01
1050,Offence Against a Person,2012,12,292,2012-12-01
1051,Offence Against a Person,2013,1,293,2013-01-01
1052,Offence Against a Person,2013,2,232,2013-02-01
1053,Offence Against a Person,2013,3,319,2013-03-01
1054,Offence Against a Person,2013,4,275,2013-04-01
1055,Offence Against a Person,2013,5,309,2013-05-01
1056,Offence Against a Person,2013,6,289,2013-06-01
1057,Offence Against a Person,2013,7,348,2013-07-01
1058,Offence Against a Person,2013,8,361,2013-08-01
1059,Offence Against a Person,2013,9,311,2013-09-01
1060,Offence Against a Person,2013,10,330,2013-10-01
1061,Offence Against a Person,2013,11,283,2013-11-01
1062,Offence Against a Person,2013,12,283,2013-12-01
1063,Offence Against a Person,2014,1,283,2014-01-01
1064,Offence Against a Person,2014,2,229,2014-02-01
1065,Offence Against a Person,2014,3,283,2014-03-01
1066,Offence Against a Person,2014,4,251,2014-04-01
1067,Offence Against a Person,2014,5,294,2014-05-01
1068,Offence Against a Person,2014,6,301,2014-06-01
1069,Offence Against a Person,2014,7,277,2014-07-01
1070,Offence Against a Person,2014,8,257,2014-08-01
1071,Offence Against a Person,2014,9,223,2014-09-01
1072,Offence Against a Person,2014,10,241,2014-10-01
1073,Offence Against a Person,2014,11,241,2014-11-01
1074,Offence Against a Person,2014,12,233,2014-12-01
1075,Offence Against a Person,2015,1,296,2015-01-01
1076,Offence Against a Person,2015,2,212,2015-02-01
1077,Offence Against a Person,2015,3,245,2015-03-01
1078,Offence Against a Person,2015,4,220,2015-04-01
1079,Offence Against a Person,2015,5,309,2015-05-01
1080,Offence Against a Person,2015,6,294,2015-06-01
1081,Offence Against a Person,2015,7,270,2015-07-01
1082,Offence Against a Person,2015,8,262,2015-08-01
1083,Offence Against a Person,2015,9,242,2015-09-01
1084,Offence Against a Person,2015,10,275,2015-10-01
1085,Offence Against a Person,2015,11,290,2015-11-01
1086,Offence Against a Person,2015,12,284,2015-12-01
1087,Offence Against a Person,2016,1,291,2016-01-01
1088,Offence Against a Person,2016,2,242,2016-02-01
1089,Offence Against a Person,2016,3,253,2016-03-01
1090,Offence Against a Person,2016,4,243,2016-04-01
1091,Offence Against a Person,2016,5,266,2016-05-01
1092,Offence Against a Person,2016,6,245,2016-06-01
1093,Offence Against a Person,2016,7,310,2016-07-01
1094,Offence Against a Person,2016,8,319,2016-08-01
1095,Offence Against a Person,2016,9,249,2016-09-01
1096,Offence Against a Person,2016,10,293,2016-10-01
1097,Offence Against a Person,2016,11,256,2016-11-01
1098,Offence Against a Person,2016,12,219,2016-12-01
1099,Offence Against a Person,2017,1,272,2017-01-01
1100,Offence Against a Person,2017,2,233,2017-02-01
1101,Offence Against a Person,2017,3,232,2017-03-01
1102,Offence Against a Person,2017,4,262,2017-04-01
1103,Offence Against a Person,2017,5,283,2017-05-01
1104,Offence Against a Person,2017,6,253,2017-06-01
1105,Offence Against a Person,2017,7,285,2017-07-01
1106,Offence Against a Person,2017,8,277,2017-08-01
1107,Offence Against a Person,2017,9,291,2017-09-01
1108,Offence Against a Person,2017,10,248,2017-10-01
1109,Offence Against a Person,2017,11,259,2017-11-01
1110,Offence Against a Person,2017,12,271,2017-12-01
1111,Offence Against a Person,2018,1,283,2018-01-01
1112,Offence Against a Person,2018,2,222,2018-02-01
1113,Offence Against a Person,2018,3,269,2018-03-01
1114,Offence Against a Person,2018,4,238,2018-04-01
1115,Offence Against a Person,2018,5,231,2018-05-01
1116,Offence Against a Person,2018,6,257,2018-06-01
1117,Offence Against a Person,2018,7,276,2018-07-01
1118,Offence Against a Person,2018,8,282,2018-08-01
1119,Offence Against a Person,2018,9,277,2018-09-01
1120,Offence Against a Person,2018,10,230,2018-10-01
